Date,Open,High,Low,Close,Adj Close,Volume
10-01-2018,114.750000,115.680000,114.730003,115.610001,115.610001,18883100
10-02-2018,115.300003,115.839996,114.440002,115.150002,115.150002,20787200
10-03-2018,115.419998,116.180000,114.930000,115.169998,115.169998,16648000
10-04-2018,114.610001,114.760002,111.629997,112.790001,112.790001,34821700
10-05-2018,112.629997,113.169998,110.639999,112.129997,112.129997,29068900
10-08-2018,111.660004,112.029999,109.339996,110.849998,110.849998,29640600
10-09-2018,111.139999,113.080002,110.800003,112.260002,112.260002,26198600
10-10-2018,111.239998,111.500000,105.790001,106.160004,106.160004,61376300
10-11-2018,105.349998,108.930000,104.199997,105.910004,105.910004,63904300
10-12-2018,109.010002,111.239998,107.120003,109.570000,109.570000,47742100
10-15-2018,108.910004,109.480003,106.949997,107.599998,107.599998,32068100
10-16-2018,109.540001,111.410004,108.949997,111.000000,111.000000,31610200
10-17-2018,111.680000,111.809998,109.550003,110.709999,110.709999,26548200
10-18-2018,110.099998,110.529999,107.830002,108.500000,108.500000,32506200
10-19-2018,108.930000,110.860001,108.209999,108.660004,108.660004,32785500
10-22-2018,109.320000,110.540001,108.239998,109.629997,109.629997,26545600
10-23-2018,107.769997,108.970001,105.110001,108.099998,108.099998,43770400
10-24-2018,108.410004,108.489998,101.589996,102.320000,102.320000,63621500
